"label","F4_130C_6.1.4_HFHS.Chow.DMBA","F4_131N_6.2.5_HFHS.Chow.DMBA","F5_131N_6.2.2_HFHS.Chow.DMBA","F6_130C_6.1.2_HFHS.Chow.DMBA","F6_131N_6.2.4_HFHS.Chow.DMBA","F4_129N_4.2.5_Lean.DMBA","F5_129N_4.1.3_Lean.DMBA","F5_129C_4.2.1_Lean.DMBA","F6_129N_4.1.5_Lean.DMBA","F6_129C_4.2.3_Lean.DMBA"
"P10761","2.718924","2.743786","2.676566","2.305917","2.673192","2.665259","1.930454","2.352665","2.445636","2.436250"
"B2RXY7","2.475647","1.778920","2.307253","2.059256","1.907676","1.825766","1.755974","1.640441","1.967193","2.015599"
"A0A1B0GX27","2.356685","2.414389","2.079234","1.585387","2.894581","2.090349","1.996133","1.950430","1.585387","1.632865"
"Q9D172","1.535136","2.309300","2.307253","1.889037","1.769527","2.055074","2.251655","2.276385","2.007202","1.889037"
"P30416","1.676425","1.734379","1.980503","2.127868","1.842571","1.884247","1.668849","2.085350","2.163535","2.787634"
"P49722","1.853302","1.709850","1.914227","1.557283","1.464762","1.640441","1.817889","1.728491","1.864947","1.808821"
"E9QNN1","2.648044","1.249666","1.345381","1.972586","1.774300","1.416779","1.379030","1.535136","1.734379","1.839904"
"O09131","2.163535","2.071485","2.227584","2.757966","2.326336","2.024140","2.769555","2.238009","1.755974","2.282812"
"D6REG4","1.910968","1.853302","1.676425","1.930454","2.014039","1.822646","1.753490","1.902464","1.952372","2.150438"
"A5GZX3","2.412847","2.710518","1.937399","2.042627","1.941257","2.178243","2.033933","2.473944","1.874752","3.057298"
"Q3THW5","2.644344","2.781132","2.662967","2.364511","2.599876","2.621724","2.567468","2.682486","2.769555","2.764238"
"Q3THU8","2.0140391","2.182937","1.068645","2.234428","2.374236","1.6135969","1.750669","2.429744","2.321018","2.297444"
"Q6ZWN5","2.553678","2.380645","2.462027","2.411518","2.543623","2.560211","2.145391","2.563507","2.036164","2.546629"
"Q5SW83","2.047645","2.076098","2.102996","2.352665","2.251655","2.046606","2.339457","2.222051","2.266772","2.769555"
"Q6ZWM4","1.307524","1.570569","2.487378","1.448157","1.488254","1.154595","1.902464","1.845452","1.651665","1.621126"
"Q8BWF0","1.720351","1.738990","1.836786","1.877247","1.881132","2.091907","1.904335","1.897904","1.700124","1.945142"
"Q9Z2T6","1.585387","1.673488","1.405712","2.114383","2.026515","2.632115","1.448157","1.509255","2.179612","2.085350"
"P14873","1.610277","1.649464","1.379030","1.794832","1.850864","1.519884","1.725208","1.632865","1.871708","1.812730"
"P09671","1.989539","1.906009","1.894995","1.859577","1.405712","1.785719","2.417045","1.698359","2.003119","1.734379"
"Q3U8W0","1.899810","1.785719","1.496486","2.155628","2.114383","1.881132","1.640441","1.682355","2.328910","2.111266"
"O35459","2.230855","2.574448","2.020193","1.882751","2.192974","2.163535","2.691262","2.039375","2.487378","1.932091"
"A0A7N9VR94","1.624987","1.845452","1.945142","1.009938","0.890151","1.600342","2.024140","1.702542","1.230937","1.177070"
"A0A0R4J0Q5","1.682355","1.776333","1.737552","1.845452","1.673488","1.659191","1.734379","1.725208","1.893313","1.859577"
"Q52KI7","2.263575","2.155628","1.943026","2.201052","2.155628","2.179612","1.887162","2.801961","2.199446","2.162284"
"P60766","3.253783","1.448157","1.659191","1.747729","1.691318","3.338179","2.585000","1.894995","1.702542","1.705977"
"Q9DCX2","1.803422","1.765216","1.804224","1.804224","2.419882","1.686579","1.416779","1.613597","1.839904","1.737552"
"Q8BG13","1.820373","1.547929","1.585387","1.919954","1.962575","1.632865","1.464762","1.379030","1.934064","2.127868"
